acyear,All PV,All RS + TT + MO,All NTT,US PV,US RS + TT + MO,US NTT,Foreign PV,Foreign RS + TT + MO,Foreign NTT
2003,444,215,24,415,209,24,29,6,0
2004,439,222,29,320,183,26,119,39,3
2005,421,232,19,283,185,18,138,47,1
2006,465,240,28,317,192,23,148,48,5
2007,525,294,46,358,232,32,167,62,14
2008,530,286,41,330,207,26,200,79,15
2009,463,250,30,259,165,19,204,85,11
2010,542,257,28,285,169,21,257,88,7
2011,507,253,27,396,228,27,111,25,0
2012,529,295,28,439,251,25,90,44,3
2013,503,250,21,407,227,19,96,23,2
2014,512,288,36,423,265,30,89,23,6
2015,548,330,33,455,303,31,93,27,2
2016,584,367,31,229,245,19,355,122,12
2017,703,397,32,274,250,21,429,147,11
2018,624,386,39,247,237,28,377,149,11